# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_E.json (Lewis & Short via Perseus), simplified for learners.
# review: eadem is the adverbial ablative of idem; no single word covers "by the same route"
eadem | 1 | likewise
eadem | 3 | by the same route (rare)
eadem | 4 | eadem ... eadem, at one time ... at another
# review: eatenus is a correlative adverb of extent; English needs a phrase
eatenus | 1 | so far
eatenus | 3 | to the extent that, insofar as (usu. with quatenus)
ebibo | 1 | drink up
ebibo | 3 | transf: to suck in, absorb, drain (of things)
ebibo | 4 | to squander in drink
# review: eblandior needs a verb phrase; English has no single verb for "get by flattery"
eblandior | 1 | coax out
eblandior | 3 | to obtain by flattery or coaxing
ebrietas | 1 | drunkenness
ebrietas | 3 | transf: excess, an overabundance (of juice or liquid)
ebriosus | 1 | drunken
ebriosus | 3 | as subst.: a drunkard, a sot
ebrius | 1 | drunk
ebrius | 3 | trop: intoxicated, flushed (with success or passion)
ebrius | 4 | in gen: filled to the brim, sated
ebullio | 1 | bubble up
ebullio | 3 | to breathe out, give up (the ghost)
ebullio | 4 | trop: to boast of, brag about
ebur | 1 | ivory
ebur | 3 | meton: a thing made of ivory (a statue, flute, sword-hilt)
ebur | 4 | meton: an elephant
eburneus | 1 | of ivory
eburneus | 3 | poet: white as ivory
ecce | 1 | behold
ecce | 3 | here is, here comes (pointing something out)
ecce | 4 | introducing something sudden or unexpected: ecce Apollo mihi imperat, look, Apollo commands me
eclogarius | 1 | excerpted
eclogarius | 3 | as subst. (eclogarium): a collection of selected poems
eclogarius | 4 | as subst. (eclogarii): selected passages from a work
ecquando | 1 | ever
ecquando | 3 | interrog: is there ever a time when...? (indignant question)
ecqui1 | 1 | any
ecqui1 | 3 | interrog: is there any...? (in an impassioned question)
ecquis | 1 | anyone
ecquis | 2 | anything
ecquis | 3 | interrog: is there anyone who...? (in an impassioned question)
ecquis | 4 | as adverb (ecquid): at all, whether: ecquid audis, do you hear at all
ecquis | 5 | as adverb (ecquo): anywhere at all
edax | 1 | gluttonous
edax | 3 | poet, transf: devouring, consuming (of fire, time, or the sea)
edico | 1 | proclaim
edico | 3 | to decree, ordain by public proclamation
edico | 4 | of a magistrate: to publish an edict on taking office
edico | 5 | in gen: to declare, appoint, order
edictum | 1 | edict
edictum | 3 | transf: an order, command (in gen.)
edictum | 4 | transf: a public notice, bill (e.g. of games)
edisco | 1 | memorize
edisco | 3 | in gen: to learn thoroughly, study
edissero | 1 | expound
edissero | 3 | to set forth in detail, explain fully, relate
edisserto | 1 | expound
edisserto | 3 | to set forth in detail, explain fully, relate
editio | 1 | publication
editio | 3 | concr: an edition (of a text)
editio | 4 | jurid: a declaration, statement (of the form of an action)
editio | 5 | an exhibition, giving (of public games)
editio | 6 | late: a birth, bringing forth
edo1 | 1 | eat
edo1 | 3 | transf: to squander, dissipate (property)
edo1 | 4 | poet: to consume, destroy, eat away (of decay, flame, or disease)
edo1 | 5 | trop: to corrode, prey upon, consume (the mind)
edo2 | 1 | give forth
edo2 | 2 | publish
edo2 | 3 | to give birth to, bring forth (young)
edo2 | 4 | to utter, proclaim, declare (an oracle's response, a decree)
edo2 | 5 | to produce, cause, bring about
edo2 | 6 | p. a. (editus): elevated, high, lofty (of places)
edoceo | 1 | instruct
edoceo | 3 | to teach fully, explain in detail (with acc. of person and thing)
edoceo | 4 | transf: to inform clearly, make evident (of circumstances or facts)
edolo | 1 | hew out
edolo | 3 | trop: to work out, finish, complete (a piece of writing)
edomo | 1 | subdue
edomo | 3 | transf: to soften, melt, break in (metal, soil, or wild nature)
edormio | 1 | sleep off
edormio | 3 | poet: to sleep through (an event, a performance)
educatio | 1 | upbringing
educatio | 3 | transf: the rearing, breeding (of animals or plants)
educo1 | 1 | lead out
educo1 | 3 | pub. law: to bring, summon before a court
educo1 | 4 | milit: to lead out, march out (troops)
educo1 | 5 | naut: to bring a ship out of harbour, put to sea
educo1 | 6 | of a child: to bring up, rear
educo1 | 7 | since Aug: to raise up, erect, build
educo1 | 8 | of time: to pass, spend
educo2 | 1 | educate
educo2 | 3 | transf: to train, foster, cultivate (talents, character, or an art)
educo2 | 4 | poet: to nourish, sustain (of plants or animals)
edulis | 1 | edible
edulis | 3 | as subst. (edulia): food, eatables
effarcio | 1 | stuff
effectus2 | 1 | execution
effectus2 | 3 | the result, effect (of an action or operation)
effemino | 1 | enervate
effemino | 3 | lit: to make feminine (rare, of air)
effemino | 4 | p. a. (effeminatus): womanish, effeminate, unmanly
effemino | 5 | p. a., in mal. part.: passive, submitting to unnatural lust
effero1 | 1 | carry out
effero1 | 2 | bury
effero1 | 3 | of soil: to bring forth, produce, yield (fruit)
effero1 | 4 | to lift up, raise, elevate
effero1 | 5 | to utter, proclaim, publish
effero1 | 6 | pass: to be carried away, transported (by passion or emotion)
effero1 | 7 | with se: to rise, distinguish oneself
effero1 | 8 | with se, in a bad sense: to be puffed up, grow arrogant
effero2 | 1 | make wild
effero2 | 3 | mentally: to brutalize, make fierce, savage (a person's temper)
efferus | 1 | savage
effervesco | 1 | boil over
effervesco | 3 | trop: to grow violent, rage, seethe (of passion or unrest)
effervesco | 4 | transf, poet: to blaze out, shine forth (of stars)
effervesco | 5 | to boil away, subside, die down (of anger)
effervo | 1 | boil over
