# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_F.json (Lewis & Short via Perseus), simplified for learners.
faba | 1 | bean
faba | 3 | transf: a bean-shaped grain or pellet
fabarius | 1 | of beans
fabella | 1 | tale
fabella | 3 | in partic: a fable (with a moral)
fabella | 4 | a short play
faber1 | 1 | craftsman
faber1 | 3 | esp (faber tignarius): a carpenter
faber2 | 1 | skilful
fabrefacio | 1 | craft
fabrefacio | 3 | trop: to forge, contrive (a trick)
fabrica | 1 | workshop
fabrica | 3 | transf: a craft, a trade (requiring skilled work)
fabrica | 4 | gen: a structure, a skilfully made thing
fabrica | 5 | comic: a trick, a crafty scheme
fabricatio | 1 | construction
fabricatio | 3 | trop, of speech: structure, composition
fabricator | 1 | maker
fabricator | 3 | trop: a cause, an author (of misfortune)
fabricor | 1 | construct
fabricor | 3 | transf: to form, shape, fashion (in a general sense)
fabrilis | 1 | craftsman's
fabula1 | 1 | story
fabula1 | 2 | play
fabula1 | 3 | a fable (with a moral)
fabula1 | 4 | vulg: an affair, a matter, a business
fabulor | 1 | chat
fabulor | 3 | esp: to speak (a particular language)
fabulosus | 1 | legendary
facesso | 1 | perform
facesso | 3 | in partic, pejor: to cause, bring on, occasion (trouble)
facesso | 4 | neutr: to go away, depart, withdraw
facetia | 1 | jest
facetia | 3 | plur: wit, witticisms, pleasantries
facetus | 1 | witty
facetus | 3 | of behaviour: courteous, polite, refined
facetus | 4 | of speech: elegant, fine
facies | 1 | shape
facies | 2 | face
facies | 3 | trop: appearance, look, aspect (in general)
facies | 4 | in Tac.: a pretence, a pretext (outward show masking reality)
facilis | 1 | easy
facilis | 2 | affable
facilis | 3 | of fortune: favourable, prosperous
facilis | 4 | adv (facile): easily, readily, without difficulty
facilitas | 1 | ease
facilitas | 3 | of character: good nature, affability, courteousness
facilitas | 4 | pejor: levity, heedlessness
facinorosus | 1 | villainous
facinus | 1 | deed
facinus | 3 | in partic: a crime, an outrage, a villainy
facinus | 4 | transf, poet: an instrument of crime (e.g. a poisoned cup)
facio | 1 | make
facio | 2 | do
facio | 3 | with double acc.: to render, turn into (something)
facio | 4 | to value, esteem, regard (with gen. of price: magni facere, to think highly of)
facio | 5 | to represent, feign, pretend, assert (that something is the case)
facio | 6 | mercant: to practise, follow (a trade or profession)
facio | 7 | relig: to perform a rite, offer a sacrifice
facio | 8 | facere cum aliquo: to side with, take part with someone
facio | 9 | hypothetically (fac): suppose, assume that...
facio | 10 | as subst. (factum): a deed, an act, an achievement
facticius | 1 | artificial
factio | 1 | faction
factio | 3 | legal: the right to make a will (testamenti factio)
factio | 4 | rare: a making, a doing, a preparing
factio | 5 | at the races: a racing team (of charioteers)
factiosus | 1 | factious
factito | 1 | practise
factito | 3 | with double acc.: to declare, proclaim (someone something, e.g. an heir)
factito | 4 | esp, pejor: to keep churning out (with implied lack of success)
factor | 1 | doer
factor | 3 | econom: an oil-presser
factor | 4 | in ball games: the batsman, the striker
factura | 1 | manufacture
factura | 3 | transf: a creature, a created thing
factus2 | 1 | construction
factus2 | 3 | econom: a pressing (of oil), the yield of one pressing
facultas | 1 | ability
facultas | 2 | opportunity
facultas | 3 | transf, plur: resources, means, wealth
facundia | 1 | eloquence
facundus | 1 | eloquent
faeculentus | 1 | turbid
faeculentus | 3 | trop, rare: impure, unwholesome (of mirth)
faeneratio | 1 | usury
faenerator | 1 | moneylender
faeneror | 1 | lend
faeneror | 3 | meton: to drain, exploit through usury
faeneror | 4 | to borrow on interest
faeneror | 5 | trop: to lend expecting a return (of a favour)
faeneus | 1 | of hay
faenum | 1 | hay
faenum | 3 | esp (faenum Graecum): fenugreek
faenus | 1 | interest
faenus | 3 | transf, rare: capital lent out (the principal)
faenus | 4 | gen: gain, profit, advantage (in a non-financial sense)
faex | 1 | dregs
faex | 3 | trop: the dregs, the lowest class (of a people)
faex | 4 | transf: rouge, cosmetic paint (for the face)
fala | 1 | scaffold
fala | 3 | milit: a siege-tower (for throwing missiles)
fala | 4 | at the circus: one of the turning-posts (pillars in the spina)
falarica | 1 | fire-javelin
falarica | 3 | transf: a similar missile thrown by hand
falcatus | 1 | scythed
falcatus | 3 | transf: sickle-shaped, curved, hooked
fallacia | 1 | deceit
fallax | 1 | deceptive
fallo | 1 | deceive
fallo | 2 | elude
fallo | 3 | impers (fallit me): I am mistaken, I am wrong
fallo | 4 | to beguile, lighten, make (time or toil) pass unnoticed
fallo | 5 | p. a. (falsus): false, counterfeit, spurious
falx | 1 | sickle
falx | 3 | milit, transf: a grappling hook (for pulling down walls)
fama | 1 | rumour
fama | 2 | reputation
fama | 3 | personif. (Fama): the goddess of Rumour
fama | 4 | pejor: ill fame, infamy, scandal
famelicus | 1 | famished
fames | 1 | hunger
fames | 3 | transf: famine, dearth (a shortage of food)
fames | 4 | trop: greed, avidity, a craving (for wealth or gain)
fames | 5 | of speech: poverty of expression, aridity
familia | 1 | household
familia | 2 | estate
familia | 3 | in respect to lineage: a family, a clan (within a gens)
familia | 4 | a school, a sect (of philosophers)
familiaricus | 1 | servants'
familiaricus | 3 | of the house or family (in gen.)
familiaris | 1 | domestic
familiaris | 2 | intimate
familiaris | 3 | as subst.: a close friend, an intimate
familiaris | 4 | customary, habitual, familiar
familiaris | 5 | fitting, appropriate, suited (to a place or purpose)
familiaritas | 1 | intimacy
familiaritas | 3 | transf, plur: close friends, intimates
famosus | 1 | famous
famosus | 3 | pejor: infamous, notorious
famosus | 4 | active: defamatory, slanderous (of a libel)
famularis | 1 | servile
famulitium | 1 | servitude
famulitium | 3 | concr: the household slaves, the domestic staff
famulor | 1 | serve
famulus1 | 1 | servant
famulus1 | 3 | fem (famula): a handmaid, a female attendant
famulus2 | 1 | servile
fanaticus | 1 | frenzied
fanaticus | 3 | of temple attendants: inspired, possessed (by a divinity)
fanum1 | 1 | shrine
far | 1 | spelt
far | 3 | transf: coarse meal, grits
farcio | 1 | stuff
farcio | 3 | in partic: to fatten (poultry)
farina | 1 | flour
farina | 3 | transf: powder, dust (of any ground substance)
farina | 4 | trop: nature, character, sort (of person)
farrago | 1 | fodder
farrago | 3 | transf: a medley, a hodgepodge
farrago | 4 | transf: a trifle
fartor | 1 | poulterer
fartor | 3 | rare: a sausage-maker
fas | 1 | right
fas | 3 | rare: a court day, permitted for legal business
fas | 4 | as predicate (fas est): it is lawful, permitted, right
fascia | 1 | band
fascia | 3 | architect: a fillet, a listel (moulding round a column)
fascia | 4 | transf, poet: a streak, a band (of cloud in the sky)
fascia | 5 | geog: a zone (of the earth)
fasciculus | 1 | bundle
fascino | 1 | bewitch
fascinum | 1 | witchcraft
fascinum | 3 | transf: a phallic amulet (worn against the evil eye)
fascis | 1 | bundle
fascis | 2 | burden
fascis | 3 | polit, plur (fasces): the fasces, the rods and axe of a magistrate
fascis | 4 | meton: high office, the consulship
fastidio | 1 | loathe
fastidio | 2 | disdain
fastidio | 3 | trop: to scorn, be too proud for (something)
fastidiosus | 1 | squeamish
fastidiosus | 3 | act, rare: disgusting, loathsome, distasteful
fastidium | 1 | distaste
fastidium | 3 | esp: fussiness, daintiness (of a pampered taste)
fastidium | 4 | trop: disdain, scornful contempt, haughtiness
fastigium | 1 | summit
fastigium | 2 | slope
fastigium | 3 | trop: the highest rank, the peak (of dignity or power)
fastigium | 4 | rare: depth (the lower extremity)
fastigium | 5 | rhet: a chief point, a main heading (in a discourse)
fastigo | 1 | taper
fastigo | 3 | p. a. (fastigatus): sloping, steep, pitched (of a roof)
fastigo | 4 | trop, late: to elevate, exalt
fastus1 | 1 | calendar
fastus1 | 3 | esp (fasti consulares): the register of consuls (by year)
