# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_G.json (Lewis & Short via Perseus), simplified for learners.
galbanum | 1 | galbanum
galbanum | 3 | a fragrant gum-resin from a Syrian plant, used in incense and medicine
galbeum | 1 | armband
galbeum | 3 | a band or fillet worn on the arm, as an ornament, for medical use, or by a general celebrating a triumph
galea | 1 | helmet
galea | 3 | usually a leather helmet, as opposed to the metal cassis
galea | 4 | transferred, the crest of the Guinea fowl
# review: galeo English has no one-word verb for putting on a helmet; "helm" would wrongly suggest steering
galeo | 1 | cover with a helmet
galeo | 3 | of soldiers, to put on or wear a helmet, to arm
galeo | 4 | transferred, galeatus prologus, a defensive preface, written to forestall criticism
galeritus | 1 | hooded
galeritus | 3 | of a rustic, wearing a hood or hide cap
galeritus | 4 | transferred, galerita avis, the crested lark
galerum | 1 | cap
galerum | 3 | a close-fitting cap of skin or fur, worn by priests
galerum | 4 | a kind of wig or toupee
galerum | 5 | poetic, a rose-bud
galla1 | 1 | gall-nut
galla1 | 3 | a harsh, inferior kind of wine
gallicinium | 1 | cockcrow
gallicinium | 3 | the last watch of the night, early dawn
gallina1 | 1 | hen
gallinaceus | 1 | of poultry
gallinaceus | 3 | transferred, of plants: cunila gallinacea, a kind of savory herb
gallinarius | 1 | of poultry
gallinarius | 3 | as a noun, a poulterer, one who tends poultry
gallinarius | 4 | as a noun, gallinarium, a hen-house
gallus1 | 1 | cock
gallus1 | 3 | ad cantum galli secundi, at the second cock-crow, i.e. before dawn
ganea | 1 | dive
ganea | 3 | a cheap eating-house or tavern, especially one of ill repute, often frequented by prostitutes
ganeo | 1 | glutton
ganeo | 2 | debauchee
ganeo | 3 | one who haunts eating-houses and dens of vice, a wastrel
gannio | 1 | yelp
gannio | 3 | of dogs, to bark or yelp
gannio | 4 | transferred, of persons, to snarl, growl, or grumble
gannitus | 1 | yelp
gannitus | 3 | transferred, of birds, a chirping or twittering
gannitus | 4 | transferred, of persons, a snarling, grumbling, or whining
garrio | 1 | chatter
garrio | 3 | to talk idly, prattle, gossip
garrio | 4 | transferred, of frogs croaking or birds singing
garrulitas | 1 | garrulity
garrulitas | 3 | talkativeness, a habit of chattering or prattling
garrulus | 1 | talkative
garrulus | 3 | transferred, of animals or birds, that chatters, chirps, or twitters constantly
garrulus | 4 | transferred, of a subject, talked about at length, the theme of endless chatter
gaudeo | 1 | rejoice
gaudeo | 2 | delight
gaudeo | 3 | to be glad, feel joy inwardly, as against laetor, which shows joy openly
gaudeo | 4 | to take pleasure in something, with the ablative: gaudere victoria, to delight in the victory
gaudeo | 5 | to be glad that something is so, with an infinitive, an accusative and infinitive, or a quod clause
gaudeo | 6 | in sinu gaudere, to be quietly pleased with oneself, to enjoy something in secret
gaudeo | 7 | of plants, places, and things, to thrive on or be at home in something
gaudeo | 8 | used as a greeting, like the Greek chairein: to send someone one's good wishes
gaudium | 1 | joy
gaudium | 3 | inward joy or gladness, as opposed to laetitia, joy that shows itself outwardly
gaudium | 4 | in the plural gaudia, outward expressions of joy, or sensual pleasure and enjoyment
gaudium | 5 | transferred, a cause or source of joy, a delight
gelidus | 1 | icy
gelidus | 3 | very cold, colder than frigidus; of water, ice-cold
gelidus | 4 | poetic, cold and stiff with death, old age, or fear
gelo1 | 1 | freeze
gelo1 | 3 | to cause to freeze or congeal; in the passive, to be frozen
gelo1 | 4 | to chill or numb with fright or horror
gelum | 1 | frost
gelum | 3 | poetic, coldness or numbness caused by death, old age, or fear
gemellus | 1 | twin
gemellus | 3 | transferred, paired, double: poma gemella, fruit growing in pairs
gemellus | 4 | resembling or matched like twins
gemino | 1 | double
gemino | 3 | to pair, join, or unite two things together
geminus | 1 | twin
geminus | 3 | transferred, paired, double, twofold, both
geminus | 4 | as a proper noun, Gemini, the constellation of the Twins
gemitus | 1 | groan
gemitus | 3 | poetic, of inanimate things, a deep or hoarse sound
gemma | 1 | bud
gemma | 2 | gem
gemma | 3 | a bud, eye, or shoot on a plant
gemma | 4 | a precious stone, especially cut and polished, a jewel
gemma | 5 | an object made of gemstone: a drinking-cup, or a seal-ring
gemma | 6 | a pearl (poetic)
gemma | 7 | the eye-like markings on a peacock's tail
gemma | 8 | transferred, an ornament, a beauty (post-Augustan, rare)
gemmatus | 1 | jewelled
gemmatus | 3 | set or adorned with precious stones
gemmatus | 4 | having buds or eyes, of plants
gemmeus | 1 | jewelled
gemmeus | 3 | of or set with precious stones
gemmeus | 4 | transferred, glittering or sparkling like a jewel
gemmo | 1 | bud
gemmo | 3 | to put forth buds, of plants
gemmo | 4 | poetic, to sparkle or glitter, as if set with gems
gemo | 1 | groan
gemo | 3 | poetic, of things, to creak or groan under strain
gemo | 4 | transitive, to sigh over, bewail, lament something
gemursa | 1 | toe swelling
gena | 1 | cheek
gena | 3 | poetic, the eye or eyelid, used this way by Ennius
gena | 4 | poetic, the eye-socket
gener | 1 | son-in-law
gener | 3 | transferred, the husband of a granddaughter, or a sister's husband
generalis | 1 | general
generalis | 3 | of or belonging to a kind or species, generic (rare)
generalis | 4 | relating to all, as opposed to particular or specific
generatim | 1 | by kind
generatim | 3 | by kinds, species, classes, or divisions
generatim | 4 | opposed to specially: in general terms, broadly
generatio | 1 | generation
generatio | 3 | the act of begetting or producing offspring
generatio | 4 | transferred, a generation of people, an age-group
genero | 1 | beget
genero | 3 | to produce or create, of non-physical things
genero | 4 | in the passive, to spring or descend from
generositas | 1 | nobility
generositas | 2 | boldness
