# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_L.json (Lewis & Short via Perseus), simplified for learners.
labasco | 1 | totter
labasco | 3 | waver, give way (trop., of resolve or feelings)
labefacio | 1 | shake
labefacio | 3 | undermine, weaken (a person's resolve or loyalty)
labefacio | 4 | overthrow, ruin, destroy
labefacto | 1 | shake
labefacto | 3 | weaken, injure
labefacto | 4 | overthrow, ruin, destroy
labellum1 | 1 | lip
labellum1 | 3 | a dainty little lip (dim. of labrum, poet.)
labes1 | 1 | fall
labes1 | 3 | ruin, destruction
labes1 | 4 | a ruinous person, a curse (meton., of one who brings ruin)
labes1 | 5 | epilepsy, the falling sickness
labes2 | 1 | stain
labes2 | 3 | disgrace, stigma (trop.)
labes2 | 4 | a disgraceful person, a wretch (meton.)
labia | 1 | lip
labia | 3 | axle (of an oil-press, transf.)
labilis | 1 | unstable
labilis | 3 | fleeting, transient, perishable (trop.)
labilis | 4 | slippery (causing others to slip, of ground)
labo | 1 | totter
labo | 3 | waver, hesitate (of resolve or opinion)
labo | 4 | collapse, go to ruin
labor1 | 1 | glide
labor1 | 2 | err
labor1 | 3 | slip away, escape
labor1 | 4 | elapse, pass away (of time)
labor1 | 5 | decline, sink into ruin
labor1 | 6 | slip away from, lose (something)
labor1 | 7 | fall into, come to be in (a state or habit)
labor1 | 8 | lapse from the faith, apostatize (eccl.)
labor2 | 1 | labour
labor2 | 2 | hardship
labor2 | 3 | work, workmanship (of an artist, meton.)
labor2 | 4 | crops, produce (of cultivated land, meton.)
labor2 | 5 | eclipse (of the sun or moon, poet.)
laboriosus | 1 | laborious
laboriosus | 2 | industrious
laboriosus | 3 | troubled, harassed (undergoing much hardship)
laboro | 1 | labour
laboro | 2 | suffer
laboro | 3 | be anxious, worried
laboro | 4 | be in danger, distress
laboro | 5 | make, fashion, produce (a work of art)
laboro | 6 | cultivate (crops)
labrum1 | 1 | lip
labrum1 | 3 | edge, rim (of a vessel or ditch)
labrum2 | 1 | basin
labrum2 | 3 | wine-vat (for treading grapes)
labrum2 | 4 | bath (poet.)
labrusca | 1 | wild vine
labyrinthus | 1 | labyrinth
labyrinthus | 3 | maze, tangle, bewildering complexity (trop.)
lac | 1 | milk
lac | 3 | sap, milky juice (of plants)
lac | 4 | milk-white (poet., of colour)
lacer | 1 | mangled
lacer | 3 | rent, scattered, broken up (trop., of families or an army)
laceratio | 1 | laceration
lacerna1 | 1 | cloak
lacero | 1 | mangle
lacero | 2 | slander
lacero | 3 | wreck, shatter (a ship)
lacero | 4 | plunder, ravage (a country)
lacero | 5 | torment, afflict (with grief)
lacero | 6 | squander, ruin (an estate)
lacerta | 1 | lizard
lacerta | 3 | a kind of sea-fish (species uncertain)
lacertus1 | 1 | arm
lacertus1 | 3 | the upper arm (from shoulder to elbow)
lacertus1 | 4 | muscular strength, might (trop.)
lacesso | 1 | provoke
lacesso | 3 | challenge, attack (to a fight)
lacesso | 4 | stimulate, arouse, incite
lacinia | 1 | hem
lacinia | 3 | garment (post-class., in gen.)
lacinia | 4 | dewlap (of cattle, transf.)
lacinia | 5 | a small piece, fragment, or scrap
laciniosus | 1 | jagged
laciniosus | 3 | overloaded, redundant (trop., of a speech or style)
lacrima | 1 | tear
lacrima | 3 | gum, resin (exuded from plants, transf.)
lacrimabilis | 1 | lamentable
lacrimabilis | 3 | tear-like, tearful
lacrimo | 1 | weep
lacrimo | 3 | bewail, lament (a thing)
lacrimo | 4 | drip, exude (of plants oozing gum, transf.)
lacrimosus | 1 | tearful
lacrimosus | 2 | lamentable
lacrimosus | 3 | oozing, exuding sap (transf., of plants)
lacrimula | 1 | teardrop
lacrimula | 3 | a slight, insincere tear ("crocodile tears")
lactarius | 1 | milky
lactarius | 3 | made with milk (of food)
lactarius | 4 | suckling, giving suck (of animals)
lacteo | 1 | suckle
lacteo | 3 | be milky, be full of sap (of plants or grain)
lactes | 1 | intestines
lactesco | 1 | lactate
lactesco | 3 | turn milky (of sap, juice, or grain)
lacteus | 1 | milky
lacteus | 3 | milk-white (transf., of colour)
lacteus | 4 | the Milky Way (lacteus circulus, astro.)
lacto1 | 1 | suckle
lacto1 | 3 | give suck to (a child)
lacto2 | 1 | cajole
lacuna | 1 | hollow
lacuna | 2 | gap
lacuna | 3 | pool, pond (a hollow where water collects)
