# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_M.json (Lewis & Short via Perseus), simplified for learners.
macellarius | 1 | butcher's
macellarius | 3 | a meat-seller, victualler (subst.)
macellum | 1 | meat-market
macellum | 3 | meat (transf.)
macer1 | 1 | lean
macer1 | 3 | poor, barren (of soil or land)
maceria | 1 | wall
maceria | 3 | affliction, distress (a pun on macer, rare)
macero | 1 | steep
macero | 2 | torment
macesco | 1 | grow lean
machinamentum | 1 | machine
machinamentum | 3 | trick, stratagem (trop.)
machinarius | 1 | of machines
machinarius | 3 | a scaffold-worker (subst.)
machinatio | 1 | mechanism
machinatio | 3 | a machine, engine (transf., concr.)
machinatio | 4 | trickery, machination (trop.)
machinator | 1 | engineer
machinator | 3 | schemer, mastermind (trop., of plots or crimes)
machinor | 1 | devise
machinor | 3 | scheme, plot (in partic.)
macies | 1 | leanness
macies | 3 | poverty, meagreness (trop., of language or style)
macilentus | 1 | lean
macresco | 1 | grow lean
macto | 1 | sacrifice
macto | 2 | slaughter
macto | 3 | afflict, punish (with something bad)
macto | 4 | honour, reward (with something good)
mactus1 | 1 | glorified
mactus1 | 3 | macte! well done! (an exclamation of praise)
macula1 | 1 | spot
macula1 | 3 | mesh (transf., of a net)
macula1 | 4 | stigma, blemish (trop., of character)
maculo | 1 | stain
maculo | 3 | defile, dishonour (trop.)
maculosus | 1 | spotted
maculosus | 3 | stained, defiled (trop.)
madefacio | 1 | soak
madefacio | 3 | intoxicate, make drunk (in partic.)
madeo | 1 | be wet
madeo | 3 | be drunk, be intoxicated (in partic.)
madeo | 4 | abound in, overflow with (transf.)
madesco | 1 | become wet
madesco | 3 | get drunk (in partic.)
madido | 1 | wet
madido | 3 | intoxicate (in partic.)
madidus | 1 | wet
madidus | 2 | drunk
mador | 1 | moisture
maereo | 1 | grieve
maeror | 1 | sorrow
maestitia | 1 | sadness
maestitudo | 1 | sadness
maestus | 1 | sad
maestus | 3 | gloomy, severe (transf., of temperament)
maestus | 4 | mournful, funereal (in gen., of garments or rites)
magister | 1 | master
magister | 2 | teacher
magisterium | 1 | directorship
magisterium | 3 | tutorship (in partic.)
magisterium | 4 | instruction, teaching (trop.)
magistra | 1 | mistress
magistra | 3 | schoolmistress, instructress
magistratus | 1 | magistracy
magistratus | 2 | magistrate
magmentarius | 1 | supplementary
magnanimitas | 1 | magnanimity
magnanimus | 1 | magnanimous
magnificentia | 1 | magnificence
magnificentia | 3 | grandeur, splendour (transf., of things)
magnificentia | 4 | pomposity, bombast (rhet., bad sense)
magnifico | 1 | esteem
magnifico | 3 | extol, glorify (transf.)
magnifico | 4 | enlarge (rare, eccl.)
magnificus | 1 | magnificent
magnificus | 3 | boastful, bragging (bad sense, of a person)
magniloquentia | 1 | eloquence
magniloquentia | 2 | bombast
magniloquus | 1 | eloquent
magniloquus | 2 | boastful
magnitudo | 1 | size
magnitudo | 3 | abundance, great quantity (of number or amount)
magnitudo | 4 | rank, dignity (in partic., post-Aug.)
magnopere | 1 | greatly
magnus1 | 1 | great
magnus1 | 3 | loud (of a voice)
magnus1 | 4 | old, advanced in years (magnus natu)
magnus1 | 5 | dear, expensive (of price, magni or magno)
majalis | 1 | barrow hog
majalis | 3 | an unmanned man (transf., term of abuse)
majestas | 1 | majesty
majestas | 3 | dignity, splendour (transf., in gen.)
majusculus | 1 | rather large
mala | 1 | jawbone
mala | 3 | cheek (transf., the external part of the face)
maledico | 1 | revile
maledico | 3 | curse (eccl. Lat.)
maledictio | 1 | abuse
maledictio | 3 | curse (esp., eccl. Lat.)
maledicus | 1 | slanderous
malefacio | 1 | harm
malefactor | 1 | evildoer
maleficentia | 1 | maliciousness
maleficium | 1 | crime
maleficium | 3 | fraud, deception (in partic.)
maleficium | 4 | sorcery, enchantment (in partic.)
maleficus | 1 | wicked
maleficus | 3 | magical, sorcerous (in partic.)
maleficus | 4 | harmful, noxious (transf.)
malesuadus | 1 | seductive
malevolens | 1 | malevolent
malevolentia | 1 | malevolence
malevolus | 1 | malevolent
malevolus | 3 | an enemy, foe (subst.)
malignitas | 1 | malice
malignitas | 2 | stinginess
maligno | 1 | malign
malignus | 1 | malicious
malignus | 2 | stingy
malignus | 3 | scanty, meagre (transf., small in quantity)
malitia | 1 | malice
malitia | 3 | cunning, craftiness
malitia | 4 | roguery (in a good sense)
malitiosus | 1 | crafty
malleolus | 1 | small hammer
malleolus | 3 | vine-cutting (transf., a mallet-shaped shoot for planting)
malleolus | 4 | fire-dart (milit., transf.)
malleus | 1 | hammer
malleus | 3 | glanders (transf., a disease of animals)
malo | 1 | prefer
malo | 3 | favour (in partic., be more inclined towards someone)
malus1 | 1 | bad
malus1 | 3 | ugly, ill-looking (of appearance)
malus1 | 4 | harm, misfortune (subst. malum, an evil)
malus1 | 5 | punishment (in partic., subst. malum)
malus3 | 1 | mast
malus3 | 3 | beam, pole (in gen.)
malva | 1 | mallow
mamilla | 1 | nipple
mamilla | 3 | a small pipe or nozzle (transf.)
mamma | 1 | breast
mamma | 3 | mother, mama (children's language)
mammosus | 1 | full-breasted
mammosus | 3 | protuberant, bulging (transf., of fruit)
manalis1 | 1 | flowing
manceps | 1 | contractor
manceps | 3 | surety, guarantor (transf.)
mancipatio | 1 | conveyance
mancipium | 1 | ownership
mancipium | 2 | slave
mancipo | 1 | convey
mancipo | 3 | subject, deliver up (trop., to a vice or fate)
