# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_P.json (Lewis & Short via Perseus), simplified for learners.
pabulatio | 1 | foraging
pabulatio | 3 | pasture, pastureland (literal)
pabulor | 1 | forage
pabulor | 3 | graze, feed (of animals eating fodder)
pabulum | 1 | fodder
pabulum | 3 | food, sustenance (trop., of anything that nourishes or feeds something abstract)
pacator | 1 | pacifier
pacator | 3 | subjugator, conqueror (since peace was often established through conquest)
pacifer | 1 | peace-bringing
pacifico | 1 | make peace
pacifico | 2 | appease
pacificus | 1 | peaceable
pacisco | 1 | agree
pacisco | 3 | quo pacto, in what way, how (a common idiomatic ablative)
pacisco | 4 | betrothed (of the participle pactus/pacta, promised in marriage)
paciscor | 1 | bargain
paciscor | 2 | betroth
paciscor | 3 | vitam pro laude paciscor, to stake one's life for glory (trop., poet.)
paco2 | 1 | pacify
paco2 | 2 | subdue
paco2 | 3 | pacare silvas, to clear and tame forests (transf., of land brought under cultivation)
pactio | 1 | agreement
pactio | 2 | collusion
pactio | 3 | truce, peace settlement
paedidus | 1 | filthy
paedor | 1 | filth
paelex | 1 | concubine
paelex | 3 | (as an insult) a kept boy, male favorite (post-class., applied mockingly to a man)
paene | 1 | almost
paenitentia | 1 | repentance
paeniteo | 1 | regret
paeniteo | 3 | me paenitet aliquid/alicuius rei, I regret something (an impersonal construction, + accusative of person and genitive of the thing)
paeniteo | 4 | be dissatisfied, displeased (of a state of discontent, not necessarily moral regret)
paenula1 | 1 | cloak
paenula1 | 3 | covering, wrapping (transf., any protective envelope)
paenularius | 1 | cloak-maker
paenultimus | 1 | penultimate
paenultimus | 3 | paenultima, the penultimate syllable (a grammatical term, used substantively)
paetus1 | 1 | squinting
paetus1 | 3 | having a charming, slightly averted gaze (as an epithet of Venus, a positive trait)
paganicus | 1 | rural
paganicus | 3 | heathen, pagan (eccl. Latin)
paganus | 1 | rural
paganus | 2 | civilian
paganus | 3 | pagan, heathen (eccl. Latin, ultimately from "civilian" -- one outside the "army" of Christ)
pagina | 1 | page
pagina | 3 | a plot of vines, four rows arranged in a square (viticultural term)
pagus | 1 | district
pagus | 3 | the country folk, villagers (of a rural district, by metonymy)
pala | 1 | spade
pala | 3 | bezel, the flat setting of a ring (transf., by shape)
palam | 1 | openly
palam | 2 | before
palam | 3 | palam est, it is publicly known, it is common knowledge
palatum | 1 | palate
palatum | 2 | taste
palatum | 3 | caeli palatum, the vault of heaven (transf., by analogy of shape)
palea | 1 | chaff
palea | 3 | the wattles of a cock, the dew-lap-like flesh under a rooster's beak (transf., by resemblance)
palear | 1 | dewlap
palear | 3 | throat (transf., of the general area)
palla | 1 | robe
palla | 3 | a tragic actor's costume (transf., poet.)
palleo | 1 | be pale
palleo | 2 | pine for
palleo | 3 | be anxious about, fear (trop., + dative or accusative)
palleo | 4 | study intensely, pore over (trop., growing pale from application to books)
pallesco | 1 | turn pale
pallesco | 3 | wither, fade (transf., of leaves losing their color)
palliatus | 1 | cloaked
palliatus | 3 | fabula palliata, Roman comedy in Greek dress (a literary genre term, plays set in Greece)
pallidus | 1 | pale
pallidus | 3 | pallida mors, pale death (a famous Horatian personification)
palliolum | 1 | cloak
palliolum | 2 | hood
pallium | 1 | cloak
pallium | 2 | coverlet
pallium | 3 | ad pallium reverti, to return to philosophy (trop., since the cloak was the philosopher's garb)
pallor | 1 | pallor
pallor | 2 | terror
pallor | 3 | personified as the god of fear (alongside Pavor, in Roman religion)
palmaris | 1 | excellent
palmaris | 3 | a hand's-breadth or palm in size (a unit of measurement)
palmaris | 4 | full of palm trees (of a grove or place)
palmarius | 1 | masterpiece
palmarius | 3 | a lawyer's success-fee (paid to an advocate who won the case)
palmes | 1 | vine-shoot
palmes | 3 | branch, bough (transf., of any tree)
palmo | 1 | tie up
palmo | 3 | tunica palmata, the palm-embroidered tunic worn by a general in his triumph
palmula | 1 | palm
palmula | 2 | oar-blade
palmula | 3 | date, the fruit of the palm tree
palmus | 1 | span
palmus | 3 | the palm of the hand (literal, anatomical)
palor | 1 | wander
palor | 3 | vagi palantesque per agros, wandering scattered through the fields (of straggling troops or people)
palpebra | 1 | eyelid
palpebra | 3 | eyelashes (transf., plural)
palpito | 1 | throb
palpito | 3 | animus palpitans, a throbbing, anxious heart or mind (trop.)
palpo1 | 1 | stroke
palpo1 | 2 | coax
paludamentum | 1 | cloak
paludamentum | 3 | a general's cloak, worn as the formal mark of military command outside Rome
paludatus | 1 | cloaked
paludatus | 3 | proficisci paludatus, to set out wearing the general's cloak (i.e. assuming military command)
palumbes | 1 | wood-pigeon
palus1 | 1 | stake
palus1 | 3 | ad palum alligari, to be bound to a stake (for punishment)
palus2 | 1 | marsh
palus2 | 3 | water, a lake (poet., transf., especially of the underworld rivers)
paluster | 1 | marshy
paluster | 3 | lux palustris, a squalid, degraded life (trop., a specific idiom)
pampinarius | 1 | tendril
pampinatio | 1 | pruning
pampineus | 1 | vine-leaved
pampino | 1 | prune
pampinus | 1 | tendril
pampinus | 2 | vine-leaf
pando1 | 1 | bend
pando2 | 1 | spread
pando2 | 2 | reveal
pando2 | 3 | velis passis, with sails spread, under full sail (of the participle passus)
pandus | 1 | curved
pango | 1 | fasten
pango | 2 | compose
pango | 3 | agree, covenant, settle by agreement (class., only in the perfect-tense forms; related to pactum, paciscor)
panicula | 1 | tuft
panicula | 3 | swelling, tumor (transf., medical)
panificium | 1 | bread-making
panificium | 2 | baked goods
panis | 1 | bread
panis | 2 | food
panis | 3 | a loaf-shaped ingot (transf., of metal)
pannosus | 1 | ragged
pannosus | 2 | flabby
pannus | 1 | cloth
pannus | 2 | rag
pannus | 3 | swaddling-clothes (plur., of an infant)
pantex | 1 | belly
pantex | 3 | (comically) sausages, stuffed guts (of food, a Vergilian jest)
papaver | 1 | poppy
papaver | 3 | seed, kernel (transf., of small seeds generally, by analogy with poppy-seed)
