# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_Q.json (Lewis & Short via Perseus), simplified for learners.
qua | 1 | where
qua | 3 | qua ... qua, partly ... partly; also, both ... and
qua | 4 | as far as, in so far as
qua | 5 | in what manner, how, to what extent
quacumque | 1 | wherever
quacumque | 3 | transferred, from whatever side, whencesoever
quacumque | 4 | transferred, to whatever place, whithersoever
quacumque | 5 | by whatever means, in whatever way
quadantenus | 1 | somewhat
quadantenus | 3 | to a certain point or limit, so far
quadantenus | 4 | transferred, to a certain extent, in some measure
quadra1 | 1 | table
quadra1 | 2 | morsel
quadra1 | 3 | broadly, a square shape, the general notion behind the specific uses
quadra1 | 4 | in architecture, the base or plinth of a pedestal, or a small moulding separating larger members
quadragenarius | 1 | of forty
quadragenarius | 3 | consisting of or holding forty: dolium quadragenarium, a cask holding forty congii; fistula quadragenaria, a forty-inch pipe
quadrageni | 1 | forty each
quadrageni | 3 | distributive: forty apiece, forty at a time
quadrageni | 4 | loosely, for quadraginta, forty
quadragesimus | 1 | fortieth
quadragesimus | 3 | as a noun (quadragesima), the fortieth part
quadragesimus | 4 | as a tax, a duty of one fortieth on goods
quadragesimus | 5 | in ecclesiastical Latin, Lent, the forty-day fast before Easter
quadrans | 1 | quarter
quadrans | 3 | of an inheritance or debt, a fourth part; heres ex quadrante, heir to a quarter of the estate
quadrans | 4 | as a Roman coin, a quarter of an as, the smallest coin, proverbial for a trifling sum
quadrans | 5 | of interest, four percent
quadrans | 6 | generally, a quarter of any measure: of land, weight, liquid volume, or length, and (of time) six hours, a quarter of a day
# review: quadrantarius 'of a quarter' kept at three words; 'quarter' alone would read as the noun, not the adjective
quadrantarius | 1 | of a quarter
quadrantarius | 3 | relating to a fourth part: tabulae quadrantariae, accounts reducing debts to a quarter of their value
quadrantarius | 4 | costing a quarter of an as; res quadrantaria, a public bath, since admission cost a quadrans
quadratarius | 1 | of stonework
quadratarius | 3 | as a noun, a stonecutter
quadriangulus | 1 | quadrangular
quadriangulus | 3 | as a noun (quadriangulum), a quadrilateral figure
quadriduum | 1 | four days
quadriduum | 3 | a period of four days: in hoc triduo aut quadriduo, within the last three or four days
quadrifariam | 1 | fourfold
quadrifariam | 3 | into four parts, dividing something in four
quadrifidus | 1 | quadrifid
quadrifidus | 3 | split into four parts, four-cleft (poetic)
quadrifidus | 4 | transferred, generally, divided into four parts
# review: quadrigae 'four-horse team' kept at three words; 'chariot' alone would blur the team with the vehicle it draws
quadrigae | 1 | four-horse team
quadrigae | 3 | especially, the team used in chariot racing
quadrigae | 4 | transferred, the chariot itself, drawn by four horses
quadrigae | 5 | poetic, the four-horse team of the Sun, Aurora, or the Moon
quadrigae | 6 | figuratively, the rapid onward course of something: irarum quadrigae, the headlong rush of anger
quadrigarius1 | 1 | of chariot-racing
quadrigarius1 | 3 | quadrigario habitu, in the dress of a chariot-driver
quadrijugus | 1 | four-horse
quadrijugus | 3 | of a team of four horses yoked abreast (poetic): curru quadrijugo, in a four-horse chariot
quadrimus | 1 | four-year-old
quadrimus | 3 | de quadrimo Catone, of Cato when four years old
# review: quadringenarius 'of four hundred' kept at three words; hyphenating to 'four-hundred' would misrepresent it as a compound number rather than 'consisting of 400 each'
quadringenarius | 1 | of four hundred
quadringenarius | 3 | consisting of four hundred each: quadringenariae cohortes, cohorts of four hundred men each
quadrini | 1 | four each
quadrini | 3 | distributive: four apiece, four at a time
