# key | rank | definition   (ranks 1-2 are one-word glosses; 3+ broaden out)
# Source: ls_U.json (Lewis & Short via Perseus), simplified for learners.
uber1 | 1 | udder
uber1 | 3 | transferred, richness, fruitfulness, fertility, of the earth
uber2 | 1 | fruitful
uber2 | 3 | figuratively, of style, rich, copious, abundant
ubertas | 1 | abundance
ubertas | 3 | figuratively, of style or mind, richness, copiousness
ubi | 1 | where
ubi | 3 | transferred, very frequently, of time: when, as soon as
ubicumque | 1 | wherever
ubiquaque | 1 | wherever
ubique | 1 | everywhere
ubivis | 1 | anywhere
udus | 1 | wet
ulcero | 1 | ulcerate
ulcero | 3 | figuratively, to wound, with love or grief
ulciscor | 1 | avenge
ulciscor | 3 | with a person as object, to take vengeance on, punish
ulcus | 1 | ulcer
ulcus | 3 | figuratively, a sore point, a delicate or troublesome matter
uliginosus | 1 | marshy
ullus | 1 | any
ulmeus | 1 | of elm
ulmus | 1 | elm
ulna | 1 | arm
ulna | 3 | literal, the elbow
ulna | 4 | as a measure of length, an ell
uls | 1 | beyond
ultio | 1 | revenge
ultor | 1 | avenger
ultor | 3 | as a divine epithet, Ultor, the Avenger, a surname of Mars
ultra | 1 | beyond
ultra | 3 | of time or degree, more, further, in addition
ultrix | 1 | avenging
ultro | 1 | voluntarily
ultro | 3 | ultro citroque, to and fro, mutually, on both sides
ultro | 4 | besides, moreover, in addition
ultroneus | 1 | voluntary
ululatus | 1 | wailing
ululo | 1 | howl
ululo | 3 | transitively, to wail over, bewail; to fill a place with howling
umbilicus | 1 | navel
umbilicus | 3 | transferred, the middle, centre
umbilicus | 4 | the roller-end of a papyrus scroll; ad umbilicum, to the end of a book
umbo | 1 | boss
umbo | 3 | transferred, a shield
umbo | 4 | the elbow
umbra | 1 | shadow
umbra | 3 | poetic, a ghost, shade of the dead
umbra | 4 | figuratively, a mere semblance, faint trace, a shadow as opposed to substance
umbra | 5 | shelter, protection
umbraculum | 1 | bower
umbraculum | 3 | transferred, a school, a sheltered place of study
umbraculum | 4 | a parasol, sunshade
